ticker,date,open,high,low,close,volume
BABA,2021-05-24,210.02999877929688,212.00999450683594,208.6999969482422,199.85382080078125,15884200.0
IGV,2021-05-24,70.49400329589844,71.1259994506836,70.33599853515625,70.90917205810547,4188500.0
LULU,2021-05-24,315.239990234375,320.3999938964844,313.5,318.19000244140625,735700.0
ORCL,2021-05-24,79.48999786376953,79.87999725341797,79.13999938964844,74.19032287597656,7044700.0
BABA,2021-05-25,212.8300018310547,214.0500030517578,211.00999450683594,200.50912475585938,14116100.0
IGV,2021-05-25,71.09400177001953,71.4800033569336,70.86199951171875,71.05516052246094,3733000.0
LULU,2021-05-25,320.8399963378906,324.54998779296875,318.82000732421875,324.1099853515625,967700.0
ORCL,2021-05-25,79.61000061035156,79.68000030517578,78.6500015258789,73.67630767822266,7160600.0
BABA,2021-05-26,212.3000030517578,213.75,211.5399932861328,201.1264190673828,9405800.0
IGV,2021-05-26,71.4000015258789,71.98799896240234,71.39600372314453,71.65506744384766,4260000.0
LULU,2021-05-26,325.9100036621094,330.0299987792969,324.3699951171875,329.760009765625,1049600.0
ORCL,2021-05-26,78.58999633789062,79.37000274658203,78.55000305175781,74.07817840576172,12851100.0
BABA,2021-05-27,214.1699981689453,215.4600067138672,212.52999877929688,202.03811645507812,18680200.0
IGV,2021-05-27,71.3280029296875,71.66000366210938,70.6500015258789,71.15514373779297,5798500.0
LULU,2021-05-27,327.5199890136719,331.3999938964844,323.7200012207031,328.1099853515625,1744100.0
ORCL,2021-05-27,79.5,80.05000305175781,78.83999633789062,73.81651306152344,12867800.0
BABA,2021-05-28,212.75999450683594,214.52999877929688,212.05999755859375,203.19674682617188,10401500.0
IGV,2021-05-28,71.96800231933594,72.45999908447266,71.75,71.76904296875,2694500.0
LULU,2021-05-28,330.5199890136719,330.5199890136719,323.0,323.1300048828125,909400.0
ORCL,2021-05-28,78.94999694824219,79.36000061035156,78.66999816894531,73.59217071533203,6929700.0
BABA,2021-06-01,223.02000427246094,223.1300048828125,218.24000549316406,208.43905639648438,23052800.0
IGV,2021-06-01,72.25399780273438,72.25399780273438,70.83200073242188,71.34310913085938,4132500.0
LULU,2021-06-01,322.44000244140625,323.3900146484375,315.8999938964844,318.6199951171875,1318200.0
ORCL,2021-06-01,79.58000183105469,79.83000183105469,78.4800033569336,74.36791229248047,10485300.0
BABA,2021-06-02,219.42999267578125,219.94000244140625,217.4600067138672,208.54351806640625,13126400.0
IGV,2021-06-02,71.56999969482422,71.93399810791016,71.13999938964844,71.46109771728516,2112000.0
LULU,2021-06-02,319.9100036621094,321.7099914550781,315.7900085449219,320.7799987792969,1124900.0
ORCL,2021-06-02,79.69999694824219,80.93000030517578,79.51000213623047,75.02213287353516,12249300.0
BABA,2021-06-03,218.0,218.6999969482422,216.30499267578125,206.12181091308594,12448100.0
IGV,2021-06-03,70.74800109863281,71.03600311279297,70.10800170898438,70.58323669433594,3888500.0
LULU,2021-06-03,318.6300048828125,320.9200134277344,313.05999755859375,317.3599853515625,1954900.0
ORCL,2021-06-03,79.80000305175781,81.45999908447266,79.6500015258789,75.78852844238281,12038700.0
BABA,2021-06-04,218.27999877929688,219.0800018310547,217.13999938964844,208.002197265625,8999100.0
IGV,2021-06-04,71.0199966430664,72.26000213623047,71.0199966430664,72.10900115966797,5813000.0
LULU,2021-06-04,321.8599853515625,331.0299987792969,318.5,329.5199890136719,2591100.0
ORCL,2021-06-04,81.41999816894531,83.95999908447266,81.37000274658203,77.4708480834961,14502900.0
BABA,2021-06-07,218.0,218.39999389648438,215.69000244140625,205.98883056640625,9928600.0
IGV,2021-06-07,72.13200378417969,72.73999786376953,71.8280029296875,72.680908203125,3188500.0
LULU,2021-06-07,330.5299987792969,338.20001220703125,330.1099853515625,331.6099853515625,1444400.0
ORCL,2021-06-07,82.94000244140625,84.25,82.8499984741211,78.45221710205078,10445600.0
BABA,2021-06-08,217.2899932861328,218.22999572753906,214.74000549316406,204.9631805419922,9443000.0
IGV,2021-06-08,73.21600341796875,73.58999633789062,72.55599975585938,72.84688568115234,6302000.0
LULU,2021-06-08,334.8699951171875,335.489990234375,328.3299865722656,331.0,1134100.0
ORCL,2021-06-08,84.02999877929688,85.02999877929688,84.0,79.07841491699219,10726800.0
BABA,2021-06-09,215.2100067138672,216.57000732421875,213.30999755859375,202.58895874023438,10233600.0
IGV,2021-06-09,73.41799926757812,73.46600341796875,72.80799865722656,72.85487365722656,3763500.0
LULU,2021-06-09,331.0899963378906,331.7699890136719,325.6000061035156,327.2200012207031,861400.0
ORCL,2021-06-09,84.5999984741211,84.83000183105469,84.02999877929688,78.99429321289062,9720300.0
BABA,2021-06-10,213.5,214.8000030517578,212.2100067138672,202.3515167236328,10735900.0
IGV,2021-06-10,72.65399932861328,74.21199798583984,72.65399932861328,74.13468933105469,4411000.0
LULU,2021-06-10,329.0199890136719,332.760009765625,327.510009765625,329.79998779296875,671500.0
ORCL,2021-06-10,84.16000366210938,84.45999908447266,81.70999908447266,76.91942596435547,16680800.0
BABA,2021-06-11,213.4499969482422,213.4600067138672,211.0,200.9934539794922,12276600.0
IGV,2021-06-11,74.29000091552734,74.9520034790039,74.0459976196289,74.8865737915039,3648500.0
LULU,2021-06-11,331.1000061035156,338.69000244140625,329.5400085449219,338.29998779296875,957700.0
ORCL,2021-06-11,81.9800033569336,83.23999786376953,81.83999633789062,77.48020935058594,11066500.0
BABA,2021-06-14,212.25,215.1649932861328,212.24400329589844,203.17776489257812,10773100.0
IGV,2021-06-14,75.0,75.84200286865234,74.96399688720703,75.81242370605469,3948000.0
LULU,2021-06-14,340.7699890136719,347.239990234375,335.20001220703125,337.6199951171875,895800.0
ORCL,2021-06-14,83.0,83.0999984741211,82.12999725341797,77.21849822998047,10173200.0
BABA,2021-06-15,214.1699981689453,214.49000549316406,209.63999938964844,199.492919921875,12167000.0
IGV,2021-06-15,75.75,75.75,74.58999633789062,74.75059509277344,3737500.0
LULU,2021-06-15,336.3900146484375,336.57000732421875,333.4200134277344,335.19000244140625,644600.0
ORCL,2021-06-15,82.0,82.51000213623047,81.3499984741211,76.30258178710938,17298000.0
BABA,2021-06-16,209.75,211.6199951171875,208.2259979248047,198.7901611328125,10917800.0
IGV,2021-06-16,74.91200256347656,75.01799774169922,73.35600280761719,74.33065795898438,8287500.0
LULU,2021-06-16,337.5199890136719,339.1400146484375,333.4700012207031,337.260009765625,841200.0
ORCL,2021-06-16,77.98999786376953,78.55000305175781,75.9000015258789,72.04070281982422,36560600.0
BABA,2021-06-17,209.89999389648438,212.49000549316406,209.77000427246094,200.95547485351562,11233700.0
IGV,2021-06-17,73.84600067138672,75.88400268554688,73.84600067138672,75.616455078125,8823000.0
LULU,2021-06-17,335.1499938964844,351.1000061035156,334.5,349.3999938964844,2003600.0
ORCL,2021-06-17,76.98999786376953,77.73999786376953,76.55999755859375,72.48933410644531,14836100.0
BABA,2021-06-18,212.00999450683594,213.83999633789062,210.58999633789062,201.62025451660156,13724600.0
IGV,2021-06-18,75.5999984741211,76.1520004272461,75.29199981689453,75.8624267578125,4492500.0
LULU,2021-06-18,346.2099914550781,351.260009765625,343.489990234375,347.57000732421875,1509700.0
ORCL,2021-06-18,76.9000015258789,76.91000366210938,75.97000122070312,71.24626922607422,22521200.0
BABA,2021-06-21,210.5500030517578,211.77999877929688,208.99000549316406,200.44264221191406,9273800.0
IGV,2021-06-21,75.56600189208984,76.37000274658203,74.8239974975586,76.15438079833984,5551000.0
LULU,2021-06-21,348.1700134277344,354.489990234375,345.7200012207031,352.2900085449219,829000.0
ORCL,2021-06-21,76.61000061035156,78.0999984741211,76.55000305175781,72.8912124633789,8924300.0
BABA,2021-06-22,210.4199981689453,211.66000366210938,209.86000061035156,200.68955993652344,11092100.0
IGV,2021-06-22,76.26799774169922,77.05599975585938,76.10600280761719,76.98825073242188,4210000.0
LULU,2021-06-22,352.2799987792969,360.25,352.04998779296875,359.1099853515625,921600.0
ORCL,2021-06-22,78.05999755859375,79.19000244140625,77.66000366210938,73.53609466552734,9845800.0
BABA,2021-06-23,214.19000244140625,216.3300018310547,213.1300048828125,204.05148315429688,13785800.0
IGV,2021-06-23,77.0780029296875,77.36399841308594,76.6760025024414,76.98825073242188,2394500.0
LULU,2021-06-23,358.260009765625,362.1700134277344,357.0199890136719,359.3999938964844,684500.0
ORCL,2021-06-23,78.76000213623047,78.87000274658203,78.05999755859375,72.9940185546875,7295900.0
BABA,2021-06-24,216.99000549316406,219.5800018310547,215.55999755859375,207.39439392089844,13488200.0
IGV,2021-06-24,77.29399871826172,78.16999816894531,77.29399871826172,77.67414093017578,4023500.0
