ticker
AAPL
ABNB
ADBE
ADI
ADP
ADSK
AEP
ALNY
AMAT
AMD
AMGN
APP
ARM
ASML
AVGO
AXON
BKNG
BKR
CCEP
CDNS
CEG
CHTR
CMCSA
CPRT
CRWD
CSCO
CSGP
CSX
CTAS
CTSH
DASH
DDOG
DXCM
EA
EXC
FAST
FER
FTNT
GEHC
GILD
GOOG
HON
IDXX
INSM
INTC
INTU
KDP
KHC
KLAC
LIN
LRCX
MAR
MCHP
MDLZ
MELI
MNST
MRVL
MSTR
MU
NFLX
NVDA
NXPI
ODFL
ORLY
PANW
PAYX
PCAR
PDD
PEP
PLTR
PYPL
QCOM
REGN
ROP
ROST
SBUX
SHOP
SNPS
STX
TEAM
TMUS
TRI
TTWO
TXN
VRSK
WBD
WDAY
WDC
WMT
XEL
ZS
